Metodo	Cluster_ID	Gene
Girvan-Newman	0	TP53
Girvan-Newman	0	CDKN2A
Girvan-Newman	0	REL
Girvan-Newman	0	U2AF1
Girvan-Newman	0	KDM6A
Girvan-Newman	0	KRAS
Girvan-Newman	0	BAP1
Girvan-Newman	0	ABL1
Girvan-Newman	0	PTPN11
Girvan-Newman	1	TET1
Girvan-Newman	1	KMT2A
Girvan-Newman	1	CASP8
Girvan-Newman	1	FANCA
Girvan-Newman	1	SMAD4
Girvan-Newman	1	GATA1
Girvan-Newman	1	HIST1H1C
Girvan-Newman	1	PREX2
Girvan-Newman	1	CTCF
Girvan-Newman	1	AKT3
Girvan-Newman	1	ANKRD11
Girvan-Newman	2	CSF1R
Girvan-Newman	2	BCOR
Girvan-Newman	2	PALB2
Girvan-Newman	2	PIK3CD
Girvan-Newman	2	INPPL1
Girvan-Newman	2	EP300
Girvan-Newman	2	NOTCH3
Girvan-Newman	2	INSR
Girvan-Newman	2	FAT1
Girvan-Newman	2	AXIN2
Girvan-Newman	2	KMT2D
Girvan-Newman	2	ARID1B
Girvan-Newman	2	TSC2
Girvan-Newman	2	POLD1
Girvan-Newman	2	LATS2
Girvan-Newman	2	ATM
Girvan-Newman	2	DOT1L
Girvan-Newman	2	ZFHX3
Girvan-Newman	3	AXIN1
Girvan-Newman	3	ARID1A
Girvan-Newman	3	RBM10
Girvan-Newman	3	SRC
Girvan-Newman	3	BRAF
Girvan-Newman	3	SETD2
Girvan-Newman	3	RPTOR
Girvan-Newman	3	NTRK3
Girvan-Newman	3	BRCA2
Girvan-Newman	3	SMAD2
Girvan-Newman	3	AR
Girvan-Newman	4	PTPRS
Girvan-Newman	4	TGFBR2
Girvan-Newman	5	JAK3
Girvan-Newman	5	RNF43
Girvan-Newman	5	GNAS
Girvan-Newman	5	PIK3CA
Girvan-Newman	5	PTEN
Girvan-Newman	5	RET
Girvan-Newman	5	FLT4
Girvan-Newman	6	SMARCA4
Girvan-Newman	6	KMT2C
Girvan-Newman	6	BRCA1
Girvan-Newman	6	FLT1
Girvan-Newman	6	CCND2
Girvan-Newman	6	PTPRD
Girvan-Newman	7	RB1
Girvan-Newman	7	MGA
Girvan-Newman	7	PTPRT
Girvan-Newman	8	JAK2
Girvan-Newman	8	ERF
