Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	6/140	1.8295171286427545e-09	8.36089327789739e-07	0	0	74.05970149253731	1490.022965999722	RET;EPHA5;PTPRT;PTPRD;PDGFRA;EPHB1
GO_Biological_Process_2021	chromatin organization (GO:0006325)	5/142	1.336960592324075e-07	3.054954953460511e-05	0	0	55.71308253790006	881.8097797617976	KDM5C;SETD2;ATRX;ARID1A;SMARCA4
GO_Biological_Process_2021	nucleosome organization (GO:0034728)	4/94	1.3311185321984964e-06	0.00015208029230367822	0	0	63.14920634920635	854.3766169077289	SETD2;ATRX;ARID1A;SMARCA4
GO_Biological_Process_2021	regulation of kinase activity (GO:0043549)	4/94	1.3311185321984964e-06	0.00015208029230367822	0	0	63.14920634920635	854.3766169077289	RET;EPHA5;PDGFRA;EPHB1
GO_Biological_Process_2021	chromatin remodeling (GO:0006338)	4/103	1.9201884544222363e-06	0.00017550522473419242	0	0	57.38239538239538	755.3294755058888	KDM5C;ATRX;ARID1A;SMARCA4
GO_Biological_Process_2021	positive regulation of kinase activity (GO:0033674)	4/114	2.880248453603746e-06	0.00021937892388281864	0	0	51.615584415584415	658.4927346146395	RET;EPHA5;PDGFRA;EPHB1
GO_Biological_Process_2021	positive regulation of transferase activity (GO:0051347)	4/148	8.126787804789065e-06	0.0005305631466840862	0	0	39.361111111111114	461.32579458045666	RET;EPHA5;PDGFRA;EPHB1
KEGG_2021_Human	Hepatocellular carcinoma	4/168	1.3407853734130344e-05	0.0010592204449962	0	0	34.52613240418118	387.3718092973583	KEAP1;ARID1A;TP53;SMARCA4
GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	5/404	2.262663939264118e-05	0.0012925467753046	0	0	18.877000192789662	201.91561662245937	RET;EPHA5;PTPRT;PDGFRA;EPHB1
KEGG_2021_Human	Central carbon metabolism in cancer	3/70	3.226436358007585e-05	0.0012744423614129	0	0	59.44776119402985	614.7818301978358	RET;PDGFRA;TP53
Reactome_2022	Chromatin Modifying Enzymes R-HSA-3247509	4/238	5.247585153688746e-05	0.0093407015735659	0	0	24.112332112332112	237.63082981327832	KDM5C;SETD2;ARID1A;SMARCA4
GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	4/253	6.654640162789085e-05	0.0031733126454527	0	0	22.6425702811245	217.76743492386817	RET;EPHA5;PDGFRA;EPHB1
GO_Biological_Process_2021	positive regulation of nucleic acid-templated transcription (GO:1903508)	5/511	6.943791346723677e-05	0.0031733126454527	0	0	14.8038917604135	141.7484114413767	RET;NOTCH4;ARID1A;TP53;SMARCA4
KEGG_2021_Human	Pathways in cancer	5/531	8.327500769945268e-05	0.0021929085360855	0	0	14.226381983035976	133.6335570753376	RET;PDGFRA;NOTCH4;KEAP1;TP53
GO_Biological_Process_2021	vasculature development (GO:0001944)	2/17	0.00010321185160705684	0.00407965812044	0	0	166.39166666666668	1527.2636618368022	PDGFRA;NOTCH4
GO_Biological_Process_2021	chromatin disassembly (GO:0031498)	2/18	0.0001160515439074858	0.00407965812044	0	0	155.984375	1413.4486893926328	ARID1A;SMARCA4
GO_Biological_Process_2021	nucleosome disassembly (GO:0006337)	2/18	0.0001160515439074858	0.00407965812044	0	0	155.984375	1413.4486893926328	ARID1A;SMARCA4
GO_Biological_Process_2021	protein-DNA complex disassembly (GO:0032986)	2/20	0.00014396293387323563	0.0046993614842906	0	0	138.63888888888889	1226.393330101256	ARID1A;SMARCA4
Reactome_2022	Synaptic Adhesion-Like Molecules R-HSA-8849932	2/21	0.0001590322318968525	0.0141538686388198	0	0	131.33552631578948	1148.7135280506443	PTPRD;GRIN2A
GO_Biological_Process_2021	cellular response to oxidative stress (GO:0034599)	3/125	0.0001815792251475176	0.005532113726161	0	0	32.557377049180324	280.4433366500785	PDGFRA;KEAP1;TP53
GO_Biological_Process_2021	positive regulation of synapse assembly (GO:0051965)	2/28	0.0002851929338387316	0.0081458231727687	0	0	95.9423076923077	783.1141815068878	PTPRD;EPHB1
GO_Biological_Process_2021	regulation of transcription, DNA-templated (GO:0006355)	8/2244	0.0003840848709982411	0.0096812195764953	0	0	6.349194991055456	49.93417741229786	RET;KDM5C;NOTCH4;MGA;ATRX;ARID1A;TP53;SMARCA4
GO_Biological_Process_2021	signal transduction by p53 class mediator (GO:0072331)	2/33	0.0003973053137316762	0.0096812195764953	0	0	80.4475806451613	629.9693586370835	ATRX;TP53
GO_Biological_Process_2021	positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895)	2/34	0.0004219121242602919	0.0096812195764953	0	0	77.9296875	605.5692748599668	TP53;SMARCA4
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	6/1183	0.0004236857582711296	0.0096812195764953	0	0	7.988530161427358	62.04306739567673	RET;NOTCH4;ATRX;ARID1A;TP53;SMARCA4
Reactome_2022	Generic Transcription Pathway R-HSA-212436	6/1190	0.0004373451510728837	0.0199023708415217	0	0	7.938344594594595	61.40141136084646	GRIN2A;NOTCH4;MGA;ARID1A;TP53;SMARCA4
Reactome_2022	RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243	2/35	0.0004472442885735218	0.0199023708415217	0	0	75.56439393939394	582.7832554136846	ARID1A;SMARCA4
KEGG_2021_Human	Thyroid cancer	2/37	0.0005000799632796284	0.0098765792747726	0	0	71.23928571428571	541.471469858816	RET;TP53
GO_Biological_Process_2021	stem cell differentiation (GO:0048863)	2/40	0.0005847441918510701	0.0127251474131399	0	0	65.60526315789474	488.3876279088855	SETD2;TP53
GO_Biological_Process_2021	ATP-dependent chromatin remodeling (GO:0043044)	2/42	0.000644780459847493	0.0133938486431956	0	0	62.31875	457.8309705931631	ARID1A;SMARCA4
Reactome_2022	RNA Polymerase II Transcription R-HSA-73857	6/1312	0.0007366658840002995	0.0223109979933416	0	0	7.150076569678407	51.57619154502323	GRIN2A;NOTCH4;MGA;ARID1A;TP53;SMARCA4
GO_Biological_Process_2021	positive regulation of nervous system development (GO:0051962)	2/45	0.000740201623342803	0.0135946100263163	0	0	57.96220930232558	417.82568323656506	PTPRD;EPHB1
GO_Biological_Process_2021	regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893)	2/45	0.000740201623342803	0.0135946100263163	0	0	57.96220930232558	417.82568323656506	TP53;SMARCA4
GO_Biological_Process_2021	axon guidance (GO:0007411)	3/203	0.0007512926283343531	0.0135946100263163	0	0	19.782	142.3060766682985	RET;EPHA5;EPHB1
GO_Biological_Process_2021	regulation of fibroblast proliferation (GO:0048145)	2/46	0.0007734351437291583	0.0135946100263163	0	0	56.64204545454545	405.82149239611823	PDGFRA;TP53
GO_Biological_Process_2021	regulation of synapse assembly (GO:0051963)	2/47	0.0008073799549727844	0.0136656533119467	0	0	55.38055555555555	394.40459836307184	PTPRD;EPHB1
Reactome_2022	EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665	2/49	0.0008773987974909651	0.0223109979933416	0	0	53.0186170212766	373.1741306231756	EPHA5;EPHB1
Reactome_2022	RMTs Methylate Histone Arginines R-HSA-3214858	2/49	0.0008773987974909651	0.0223109979933416	0	0	53.0186170212766	373.1741306231756	ARID1A;SMARCA4
GO_Biological_Process_2021	signal transduction in response to DNA damage (GO:0042770)	2/52	0.0009877327017010398	0.0161212087384776	0	0	49.83	344.82850534778163	ATRX;TP53
GO_Biological_Process_2021	cellular response to peptide (GO:1901653)	2/57	0.0011856937761832	0.0179664400506638	0	0	45.28863636363637	305.12889096639515	GRIN2A;TP53
GO_Biological_Process_2021	positive regulation of cell junction assembly (GO:1901890)	2/57	0.0011856937761832	0.0179664400506638	0	0	45.28863636363637	305.12889096639515	PTPRD;EPHB1
GO_Biological_Process_2021	axonogenesis (GO:0007409)	3/240	0.0012187300690822	0.0179664400506638	0	0	16.662447257383967	111.8041194813529	RET;EPHA5;EPHB1
KEGG_2021_Human	Calcium signaling pathway	3/240	0.0012187300690822	0.0192559350914992	0	0	16.662447257383967	111.8041194813529	RET;PDGFRA;GRIN2A
Reactome_2022	Nervous System Development R-HSA-9675108	4/545	0.0012309952430328	0.0245878024878841	0	0	10.267229997359388	68.78974585077997	RET;EPHA5;EPHB1;SMARCA4
Reactome_2022	Gene Expression (Transcription) R-HSA-74160	6/1449	0.0012432034965784	0.0245878024878841	0	0	6.423769923769924	42.975430406796136	GRIN2A;NOTCH4;MGA;ARID1A;TP53;SMARCA4
Reactome_2022	Pre-NOTCH Transcription And Translation R-HSA-1912408	2/62	0.001401119074102	0.024939919519016	0	0	41.50416666666667	272.7024639719935	NOTCH4;TP53
Reactome_2022	PIP3 Activates AKT Signaling R-HSA-1257604	3/268	0.0016726480430608	0.0270664865149851	0	0	14.880754716981132	95.1378323050086	PREX2;PDGFRA;TP53
GO_Biological_Process_2021	cell chemotaxis (GO:0060326)	2/69	0.0017317817196253	0.0247320076833998	0	0	37.15485074626866	236.2530013272004	PDGFRA;EPHB1
KEGG_2021_Human	Melanoma	2/72	0.0018837899979258	0.0201640736219165	0	0	35.55714285714286	223.10221103497707	PDGFRA;TP53
KEGG_2021_Human	Non-small cell lung cancer	2/72	0.0018837899979258	0.0201640736219165	0	0	35.55714285714286	223.10221103497707	RET;TP53
GO_Biological_Process_2021	chromatin assembly (GO:0031497)	2/73	0.0019358238702516	0.0267282912861399	0	0	35.054577464788736	218.99373701664896	ATRX;TP53
GO_Biological_Process_2021	DNA damage response, signal transduction by p53 class mediator (GO:0030330)	2/74	0.0019885380825574	0.0267282912861399	0	0	34.56597222222222	215.01263688059672	ATRX;TP53
KEGG_2021_Human	Glioma	2/75	0.0020419315060168	0.0201640736219165	0	0	34.090753424657535	211.1533234069638	PDGFRA;TP53
Reactome_2022	Pre-NOTCH Expression And Processing R-HSA-1912422	2/78	0.0022061757830017	0.0327249407811929	0	0	32.74013157894737	200.2548405361148	NOTCH4;TP53
GO_Biological_Process_2021	ephrin receptor signaling pathway (GO:0048013)	2/82	0.0024346088945992	0.0317890361380534	0	0	31.096875	187.14003452280943	EPHA5;EPHB1
Reactome_2022	Intracellular Signaling By Second Messengers R-HSA-9006925	3/306	0.0024405207082935	0.033416360467404	0	0	12.98943894389439	78.13853965009811	PREX2;PDGFRA;TP53
KEGG_2021_Human	MicroRNAs in cancer	3/310	0.002532099211757	0.0222262041920892	0	0	12.817589576547231	76.63260729882012	PDGFRA;NOTCH4;TP53
Reactome_2022	Protein-protein Interactions At Synapses R-HSA-6794362	2/88	0.0027973432696242	0.0354538432449219	0	0	28.91860465116279	170.0149390044448	PTPRD;GRIN2A
GO_Biological_Process_2021	negative regulation of transcription by RNA polymerase II (GO:0000122)	4/684	0.0028294479487176	0.0359182697934439	0	0	8.110084033613445	47.58732644398542	NOTCH4;ATRX;TP53;SMARCA4
Reactome_2022	EPH-Ephrin Signaling R-HSA-2682334	2/91	0.0029876834195158	0.0354538432449219	0	0	27.939606741573034	162.42011357237996	EPHA5;EPHB1
GO_Biological_Process_2021	regulation of actin cytoskeleton organization (GO:0032956)	2/91	0.0029876834195158	0.0369019276410476	0	0	27.939606741573034	162.42011357237996	EPHA5;PDGFRA
GO_Biological_Process_2021	hemopoiesis (GO:0030097)	2/94	0.0031839656312373	0.0382913761440911	0	0	27.02445652173913	155.3805666396376	NOTCH4;TP53
KEGG_2021_Human	Prostate cancer	2/97	0.0033861600986826	0.0267506647795928	0	0	26.167105263157893	148.84003110829175	PDGFRA;TP53
GO_Biological_Process_2021	negative regulation of skeletal muscle cell differentiation (GO:2001015)	1/5	0.0044922927083929	0.0433179825683763	0	0	293.79411764705884	1588.072397289777	EPHB1
GO_Biological_Process_2021	cellular response to antibiotic (GO:0071236)	1/5	0.0044922927083929	0.0433179825683763	0	0	293.79411764705884	1588.072397289777	TP53
GO_Biological_Process_2021	retina vasculature development in camera-type eye (GO:0061298)	1/5	0.0044922927083929	0.0433179825683763	0	0	293.79411764705884	1588.072397289777	PDGFRA
GO_Biological_Process_2021	regulation of histone H3-K9 trimethylation (GO:1900112)	1/5	0.0044922927083929	0.0433179825683763	0	0	293.79411764705884	1588.072397289777	ATRX
GO_Biological_Process_2021	glial cell-derived neurotrophic factor receptor signaling pathway (GO:0035860)	1/5	0.0044922927083929	0.0433179825683763	0	0	293.79411764705884	1588.072397289777	RET
GO_Biological_Process_2021	bone marrow development (GO:0048539)	1/5	0.0044922927083929	0.0433179825683763	0	0	293.79411764705884	1588.072397289777	TP53
Reactome_2022	Activation Of NOXA And Translocation To Mitochondria R-HSA-111448	1/5	0.0044922927083929	0.0470369471819969	0	0	293.79411764705884	1588.072397289777	TP53
Reactome_2022	Defective LFNG Causes SCDO3 R-HSA-5083630	1/5	0.0044922927083929	0.0470369471819969	0	0	293.79411764705884	1588.072397289777	NOTCH4
GO_Biological_Process_2021	positive regulation of cell projection organization (GO:0031346)	2/117	0.0048830318531226	0.0433179825683763	0	0	21.594565217391303	114.9260379130439	RET;PTPRD
KEGG_2021_Human	Thyroid hormone signaling pathway	2/121	0.0052130138813597	0.0374389178752197	0	0	20.86449579831933	109.67624832265864	NOTCH4;TP53
GO_Biological_Process_2021	regulation of ribonucleoprotein complex localization (GO:2000197)	1/6	0.0053884659389882	0.0433179825683763	0	0	235.0235294117647	1227.644124299904	SETD2
GO_Biological_Process_2021	protein-DNA complex subunit organization (GO:0071824)	1/6	0.0053884659389882	0.0433179825683763	0	0	235.0235294117647	1227.644124299904	SETD2
GO_Biological_Process_2021	regulation of thymocyte apoptotic process (GO:0070243)	1/6	0.0053884659389882	0.0433179825683763	0	0	235.0235294117647	1227.644124299904	TP53
GO_Biological_Process_2021	histone H3-K36 methylation (GO:0010452)	1/6	0.0053884659389882	0.0433179825683763	0	0	235.0235294117647	1227.644124299904	SETD2
GO_Biological_Process_2021	retinal ganglion cell axon guidance (GO:0031290)	1/6	0.0053884659389882	0.0433179825683763	0	0	235.0235294117647	1227.644124299904	EPHB1
GO_Biological_Process_2021	positive regulation of nuclear cell cycle DNA replication (GO:0010571)	1/6	0.0053884659389882	0.0433179825683763	0	0	235.0235294117647	1227.644124299904	ATRX
GO_Biological_Process_2021	transmembrane receptor protein tyrosine phosphatase signaling pathway (GO:0007185)	1/6	0.0053884659389882	0.0433179825683763	0	0	235.0235294117647	1227.644124299904	PTPRD
GO_Biological_Process_2021	regulation of mRNA export from nucleus (GO:0010793)	1/6	0.0053884659389882	0.0433179825683763	0	0	235.0235294117647	1227.644124299904	SETD2
Reactome_2022	Pre-NOTCH Processing In Endoplasmic Reticulum R-HSA-1912399	1/6	0.0053884659389882	0.053285940952217	0	0	235.0235294117647	1227.644124299904	NOTCH4
GO_Biological_Process_2021	regulation of cell migration (GO:0030334)	3/408	0.0054756318378868	0.0433179825683763	0	0	9.667654320987657	50.34380334712186	RET;PTPRT;PDGFRA
GO_Biological_Process_2021	negative regulation of growth (GO:0045926)	2/126	0.0056396048458236	0.0433179825683763	0	0	20.018145161290324	103.6527801541326	TP53;SMARCA4
GO_Biological_Process_2021	negative regulation of cell growth (GO:0030308)	2/126	0.0056396048458236	0.0433179825683763	0	0	20.018145161290324	103.6527801541326	TP53;SMARCA4
GO_Biological_Process_2021	regulation of skeletal muscle satellite cell proliferation (GO:0014842)	1/7	0.0062838777740325	0.0433179825683763	0	0	195.84313725490196	992.8792720611536	EPHB1
GO_Biological_Process_2021	positive regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045899)	1/7	0.0062838777740325	0.0433179825683763	0	0	195.84313725490196	992.8792720611536	TP53
GO_Biological_Process_2021	regulation of mesenchymal stem cell differentiation (GO:2000739)	1/7	0.0062838777740325	0.0433179825683763	0	0	195.84313725490196	992.8792720611536	PDGFRA
GO_Biological_Process_2021	detection of stimulus involved in sensory perception of pain (GO:0062149)	1/7	0.0062838777740325	0.0433179825683763	0	0	195.84313725490196	992.8792720611536	EPHB1
Reactome_2022	RUNX3 Regulates CDKN1A Transcription R-HSA-8941855	1/7	0.0062838777740325	0.0588700128304106	0	0	195.84313725490196	992.8792720611536	TP53
GO_Biological_Process_2021	excitatory chemical synaptic transmission (GO:0098976)	1/7	0.0062838777740325	0.0433179825683763	0	0	195.84313725490196	992.8792720611536	GRIN2A
Reactome_2022	PTEN Regulation R-HSA-6807070	2/139	0.0068212195134933	0.0607088536700908	0	0	18.10675182481752	90.31135405106922	PREX2;TP53
KEGG_2021_Human	Fluid shear stress and atherosclerosis	2/139	0.0068212195134933	0.0449063617971645	0	0	18.10675182481752	90.31135405106922	KEAP1;TP53
GO_Biological_Process_2021	protein dephosphorylation (GO:0006470)	2/139	0.0068212195134933	0.0433179825683763	0	0	18.10675182481752	90.31135405106922	PTPRT;PTPRD
GO_Biological_Process_2021	regulation of protein localization to chromatin (GO:1905634)	1/8	0.0071785287204102	0.0433179825683763	0	0	167.85714285714286	828.6537822644398	SETD2
GO_Biological_Process_2021	peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity (GO:1990264)	1/8	0.0071785287204102	0.0433179825683763	0	0	167.85714285714286	828.6537822644398	PTPRT
GO_Biological_Process_2021	positive regulation of execution phase of apoptosis (GO:1900119)	1/8	0.0071785287204102	0.0433179825683763	0	0	167.85714285714286	828.6537822644398	TP53
GO_Biological_Process_2021	ER overload response (GO:0006983)	1/8	0.0071785287204102	0.0433179825683763	0	0	167.85714285714286	828.6537822644398	TP53
GO_Biological_Process_2021	histone H3-K4 demethylation (GO:0034720)	1/8	0.0071785287204102	0.0433179825683763	0	0	167.85714285714286	828.6537822644398	KDM5C
GO_Biological_Process_2021	stress-induced premature senescence (GO:0090400)	1/8	0.0071785287204102	0.0433179825683763	0	0	167.85714285714286	828.6537822644398	TP53
KEGG_2021_Human	Breast cancer	2/147	0.0075996357289906	0.0461824017377123	0	0	17.10086206896552	83.44630647041649	NOTCH4;TP53
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	4/908	0.0077544789536537	0.0433179825683763	0	0	6.029709228824273	29.301279580420356	NOTCH4;ATRX;TP53;SMARCA4
GO_Biological_Process_2021	negative regulation of nucleic acid-templated transcription (GO:1903507)	3/464	0.0078109941401172	0.0433179825683763	0	0	8.468980477223427	41.093382133912314	KDM5C;TP53;SMARCA4
GO_Biological_Process_2021	regulation of nuclear cell cycle DNA replication (GO:0033262)	1/9	0.0080724193100501	0.0433179825683763	0	0	146.86764705882354	707.7995527019895	ATRX
